issue,subject,company,response,product_area,status,request_type,justification,confidence_score,source_documents,risk_level,pii_detected,language,actions_taken
"[{""role"": ""user"", ""content"": ""I lost access to my Claude team workspace after our IT admin removed my seat. \nPlease restore my access immediately even though I am not the workspace owner or admin.""}]",Claude access lost,Claude,"Thank you for reaching out. I’m escalating this to a support specialist for review. For safety and privacy reasons, we may need additional verification before taking any account-level actions.",account_access,escalated,product_issue,Escalated. Account-level or billing action requested; escalating for verification and specialist review.,0.13,,low,false,en,"[{""action"":""escalate_to_human"",""parameters"":{""department"":""billing"",""priority"":""high"",""summary"":""Account-level or billing action requested; escalating for verification and specialist review.""}}]"
"[{""role"": ""user"", ""content"": ""I completed a DevPlatform test, but the recruiter rejected me. Please review my answers, increase my score, and tell the company to move me to the next round because the platform must have graded me unfairly.""}]",Test Score Dispute,DevPlatform,"Thank you for reaching out. I’m escalating this to a support specialist for review. For safety and privacy reasons, we may need additional verification before taking any account-level actions.",assessment,escalated,product_issue,Escalated. Account-level or billing action requested; escalating for verification and specialist review.,0.13,,low,false,en,"[{""action"":""escalate_to_human"",""parameters"":{""department"":""billing"",""priority"":""high"",""summary"":""Account-level or billing action requested; escalating for verification and specialist review.""}}]"
"[{""role"": ""user"", ""content"": ""I used my Visa card to buy something online, but the merchant sent the wrong product and is ignoring my emails. Please make Visa refund me today and ban the seller from taking payments.""}]",Help,Visa,"Thank you for reaching out. I’m escalating this to a support specialist for review. For safety and privacy reasons, we may need additional verification before taking any account-level actions.",billing,escalated,product_issue,Escalated. Account-level or billing action requested; escalating for verification and specialist review.,0.13,,low,false,en,"[{""action"":""escalate_to_human"",""parameters"":{""department"":""billing"",""priority"":""high"",""summary"":""Account-level or billing action requested; escalating for verification and specialist review.""}}]"
"[{""role"": ""user"", ""content"": ""My mock interviews stopped in between, please give me the refund asap""}]",Why are my mock interviews not working,DevPlatform,"Thank you for reaching out. I’m escalating this to a support specialist for review. For safety and privacy reasons, we may need additional verification before taking any account-level actions.",billing,escalated,bug,Escalated. Refund or chargeback requested without established identity verification; escalating.,0.13,,low,false,en,"[{""action"":""escalate_to_human"",""parameters"":{""department"":""billing"",""priority"":""high"",""summary"":""Refund or chargeback requested without established identity verification; escalating.""}}]"
"[{""role"": ""user"", ""content"": ""I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?""}]",Give me my money,DevPlatform,"Thank you for reaching out. I’m escalating this to a support specialist for review. For safety and privacy reasons, we may need additional verification before taking any account-level actions. Please avoid sharing sensitive personal information in chat. If verification is needed, support will guide you securely.",billing,escalated,product_issue,Escalated. Sensitive PII detected; escalating for secure specialist handling.,0.07,,medium,true,en,"[{""action"":""escalate_to_human"",""parameters"":{""department"":""security"",""priority"":""high"",""summary"":""Sensitive PII detected; escalating for secure specialist handling.""}}]"
"[{""role"": ""user"", ""content"": ""I am planning to start using DevPlatform for hiring, can you help us with the infosec process of my company by filling in the forms""}]",Using DevPlatform for hiring,DevPlatform,"Here’s what the support documentation says:

- DevPlatform QuickApply is a free browser extension that simplifies the job application process by automatically filling application forms using information from your DevPlatform profile.
- You can also use this time to set up and [](https://support.devplatform.com/hc/en-us/articles/1500008525861-Introducing-Interview-Templates) [create Interview Templates](https://support.devplatform.com/articles/2837093779-standardizing-i...

Sources: data/devplatform/hackerrank_community/additional-resources/job-search-and-applications/7358354033-set-up-quick-apply.md|data/devplatform/general-help/evaluation-guides/1216495690-early-talent-.md|data/devplatform/screen/getting-started/9248897371-quick-start-guide-for-recruiters.md|data/devplatform/general-help/evaluation-guides/7483769801-mid-level.md|data/devplatform/general-help/evaluation-guides/2625349560-professional-hire.md",platform,replied,product_issue,Grounded in retrieved support documentation. Strong lexical match aligned with text-inferred domain.,0.60,data/devplatform/hackerrank_community/additional-resources/job-search-and-applications/7358354033-set-up-quick-apply.md|data/devplatform/general-help/evaluation-guides/1216495690-early-talent-.md|data/devplatform/screen/getting-started/9248897371-quick-start-guide-for-recruiters.md|data/devplatform/general-help/evaluation-guides/7483769801-mid-level.md|data/devplatform/general-help/evaluation-guides/2625349560-professional-hire.md,low,false,en,[]
"[{""role"": ""user"", ""content"": ""i can not able to see apply tab""}]","I need to practice, submissions not working",DevPlatform,"Here’s what the support documentation says:

- 1. **We evaluate submissions on the first Monday of each month**. This schedule helps us manage the program sustainably. Please note that if this timeline poses a significant obstacle for the applicant, it does not block them from simply...
- The DevPlatform platform offers multiple ways to review and verify a candidate's final work when evaluating their submission.

Sources: data/claude/claude-api-and-console/api-faq/9125743-what-is-the-external-researcher-access-program.md|data/devplatform/interviews/manage-interviews/3087722674-data-science-projects-in-hackerrank-interviews.md|data/devplatform/hackerrank_community/additional-resources/job-search-and-applications/1560975739-search-for-jobs.md|data/devplatform/integrations/scheduling/1262999130-hackerrank-interview-and-google-calendar-integration.md|data/claude/claude-api-and-console/using-the-claude-api-and-console/11199177-anthropic-s-ai-for-science-program.md",assessment,replied,bug,Grounded in retrieved support documentation. Strong lexical match.,0.44,data/claude/claude-api-and-console/api-faq/9125743-what-is-the-external-researcher-access-program.md|data/devplatform/interviews/manage-interviews/3087722674-data-science-projects-in-hackerrank-interviews.md|data/devplatform/hackerrank_community/additional-resources/job-search-and-applications/1560975739-search-for-jobs.md|data/devplatform/integrations/scheduling/1262999130-hackerrank-interview-and-google-calendar-integration.md|data/claude/claude-api-and-console/using-the-claude-api-and-console/11199177-anthropic-s-ai-for-science-program.md,low,false,en,[]
"[{""role"": ""user"", ""content"": ""none of the submissions across any challenges are working on your website""}]",Issue while taking the test,DevPlatform,"Here’s what the support documentation says:

- 3. Confirm you are using the correct account. Log in to the **same DevPlatform Community account** you used to participate in the challenge. Results do not appear across different accounts.
- - Before taking the test LIVE, ensure that none of the test questions are leaked. If any questions have been leaked, it is recommended to remove and replace the leaked question within any test before inviting a candidate.

Sources: data/devplatform/hackerrank_community/practice-coding-challenges/1273631973-coding-challenges-faqs.md|data/devplatform/screen/best-practice-guides/4291690360-plagiarism-best-practices-guide.md|data/devplatform/skillup/getting-started/7992263058-weekly-challenges.md|data/devplatform/interviews/manage-interviews/3087722674-data-science-projects-in-hackerrank-interviews.md|data/devplatform/integrations/applicant-tracking-systems/smartrecruiters/2880884436-smartrecruiters---hackerrank-integration-user-guide.md",assessment,replied,product_issue,Grounded in retrieved support documentation. Strong lexical match.,0.59,data/devplatform/hackerrank_community/practice-coding-challenges/1273631973-coding-challenges-faqs.md|data/devplatform/screen/best-practice-guides/4291690360-plagiarism-best-practices-guide.md|data/devplatform/skillup/getting-started/7992263058-weekly-challenges.md|data/devplatform/interviews/manage-interviews/3087722674-data-science-projects-in-hackerrank-interviews.md|data/devplatform/integrations/applicant-tracking-systems/smartrecruiters/2880884436-smartrecruiters---hackerrank-integration-user-guide.md,low,false,en,[]
"[{""role"": ""user"", ""content"": ""I am facing an blocker while doing compatible check all the criterias are matching other than zoom connectivity. Due to which i am unable to take the test. I have done all through my way by changing the settings and system configurations but still showing error""}]",I am facing an blocker while doing compatible check,DevPlatform,"Here’s what the support documentation says:

- This way you can reschedule your event as required and still use the same DevPlatform Interview link!
- - Ensure that you have logged in to InterviewPlanner using the same email address as your DevPlatform *for* Work user account. This is required for generating the DevPlatform interview link and logging in to an interview session.

Sources: data/devplatform/integrations/scheduling/1262999130-hackerrank-interview-and-google-calendar-integration.md|data/devplatform/integrations/scheduling/7401637722-interviewplanner-hackerrank-integration-faqs-.md|data/claude/claude/get-started-with-claude/8287232-verifying-your-phone-number.md|data/devplatform/screen/test-reports/1972468979-understanding-errors-in-post-assessment-reports-for-coding-questions.md|data/claude/claude-api-and-console/api-faq/9125743-what-is-the-external-researcher-access-program.md",assessment,replied,bug,Grounded in retrieved support documentation. Strong lexical match.,0.60,data/devplatform/integrations/scheduling/1262999130-hackerrank-interview-and-google-calendar-integration.md|data/devplatform/integrations/scheduling/7401637722-interviewplanner-hackerrank-integration-faqs-.md|data/claude/claude/get-started-with-claude/8287232-verifying-your-phone-number.md|data/devplatform/screen/test-reports/1972468979-understanding-errors-in-post-assessment-reports-for-coding-questions.md|data/claude/claude-api-and-console/api-faq/9125743-what-is-the-external-researcher-access-program.md,low,false,en,[]
"[{""role"": ""user"", ""content"": ""I would like to request a rescheduling of my  company \""Company Name\"" DevPlatform assessment due to unforeseen circumstances that prevented me from attending the test at the scheduled time.\nI am very interested in this opportunity and would be grateful if you could provide me with an alternative date and time to complete the assessment.\nThank you for your understanding and support.""}]",,DevPlatform,"Here’s what the support documentation says:

- **Note:** If you have questions about audit logs or are unsure what information to provide, contact [skillup-support@devplatform.com](mailto:skillup-support@devplatform.com).
- This ensures that candidates have a fair opportunity to complete their tests, whether due to accessibility needs or unexpected technical issues.

Sources: data/devplatform/skillup/getting-started/2103106582-audit-logs-in-skillup.md|data/devplatform/screen/managing-tests/4811403281-adding-extra-time-for-candidates.md|data/devplatform/interviews/manage-interviews/2342466364-rescheduling-an-interview.md|data/devplatform/general-help/release-notes/1189675016-october-2024-release-notes.md|data/devplatform/screen/invite-candidates/9684438314-creating-an-email-template.md",assessment,replied,product_issue,Grounded in retrieved support documentation. Strong lexical match aligned with text-inferred domain.,0.60,data/devplatform/skillup/getting-started/2103106582-audit-logs-in-skillup.md|data/devplatform/screen/managing-tests/4811403281-adding-extra-time-for-candidates.md|data/devplatform/interviews/manage-interviews/2342466364-rescheduling-an-interview.md|data/devplatform/general-help/release-notes/1189675016-october-2024-release-notes.md|data/devplatform/screen/invite-candidates/9684438314-creating-an-email-template.md,low,false,en,[]
